"label","vowel_label.1tier","F1.1tier","F2.1tier","participant_id","context","position","dominance","awareness","vowel_label.2tier","F1.2tier","F2.2tier","vowel_label","detailed_context","stimuli_id","mel_F1.1tier","mel_F2.1tier","mel_F1.2tier","mel_F2.2tier"
"P1321-1","v",709.5289912,1719.911694,"P13","em","",34.24,141,"x",709.5289912,1719.911694,NA,"em",21,787.297769698354,1395.23682862993,787.297769698354,1395.23682862993
"P1321-2","v",712.9019948,1744.390023,"P13","em","",34.24,141,"x",712.9019948,1744.390023,NA,"em",21,789.986255524159,1406.55767768012,789.986255524159,1406.55767768012
"P1321-3","v",635.0001395,1666.527831,"P13","em","",34.24,141,"x",635.0001395,1666.527831,NA,"em",21,726.192672065261,1370.14516245903,726.192672065261,1370.14516245903
"P1322-1","v",663.7776046,1739.059672,"P13","em","",34.24,141,"x",663.7776046,1739.059672,NA,"em",22,750.18188215597,1404.10215848666,750.18188215597,1404.10215848666
"P1322-2","v",629.1129152,1798.910631,"P13","em","",34.24,141,"x",629.1129152,1798.910631,NA,"em",22,721.221340726219,1431.37045320873,721.221340726219,1431.37045320873
"P1322-3","v",653.9387186,1711.026832,"P13","em","",34.24,141,"x",653.9387186,1711.026832,NA,"em",22,742.037506931122,1391.09936931408,742.037506931122,1391.09936931408
"P1323-1","v",585.3008712,1719.430218,"P13","em","",34.24,141,"x",585.3008712,1719.430218,NA,"em",23,683.51851332054,1395.01300681702,683.51851332054,1395.01300681702
"P1323-2","v",624.1577574,1752.113028,"P13","em","",34.24,141,"x",624.1577574,1752.113028,NA,"em",23,717.019974802015,1410.10593181665,717.019974802015,1410.10593181665
"P1323-3","v",571.9616039,1778.475184,"P13","em","",34.24,141,"x",571.9616039,1778.475184,NA,"em",23,671.78374068652,1422.13412520545,671.78374068652,1422.13412520545
"P1324-1","v",670.8206466,1562.483497,"P13","em","",34.24,141,"x",670.8206466,1562.483497,NA,"em",24,755.975926008208,1319.5723143168,755.975926008208,1319.5723143168
"P1324-2","v",631.7226531,1585.026268,"P13","em","",34.24,141,"x",631.7226531,1585.026268,NA,"em",24,723.427785520054,1330.72427648459,723.427785520054,1330.72427648459
